Id,Name,StateId,StateName,TeamId,TeamName,TeamAcronym,Location,Capacity,Opened,Photo,Lat,Lon
3,American Airlines,TX,Texas,1610612742,Dallas Mavericks,DAL,"Dallas, TX",19200,2001,https://upload.wikimedia.org/wikipedia/commons/b/bc/American_Airlines_Center_August_2015.jpg,32.787663516,-96.806163442
4,Amway Center,FL,Florida,1610612753,Orlando Magic,ORL,"Orlando, FL",18846,2010,https://upload.wikimedia.org/wikipedia/commons/9/9f/Amway_Center.jpg,28.536831186,-81.383498466
5,State Farm Arena,TX,Texas,1610612737,Atlanta Hawks,ATL,"Atlanta, TX",18729,,https://th.bing.com/th/id/OIP.VSJg6EBLRmyM4NjbUMe2NQHaE7?rs=1&pid=ImgDetMain,33.757290,-84.397331
6,TD Garden,MA,Massachusetts,1610612738,Boston Celtics,BOS,"Boston, MA",18624,,https://th.bing.com/th/id/OIP.VRUftj63yz77kHMSdYVoLwHaDt?rs=1&pid=ImgDetMain,42.366291,-71.062630
7,Smoothie King Center,MS,Mississippi,1610612740,New Orleans Pelicans,NOP,"New Orleans, MS",,,https://th.bing.com/th/id/R.88402ac789002dbed3ce2d099c314f85?rik=ATGwIlA%2b9ncQPw&pid=ImgRaw&r=0,29.949030,-90.082298
8,United Center,IL,Illinois,1610612741,Chicago Bulls,CHI,"Chicago, IL",21711,1994,https://pbs.twimg.com/media/GA29obSWsAAaCtJ?format=jpg&name=4096x4096,41.880692,-87.674370
10,Pepsi Center,CO,Colorado,1610612743,Denver Nuggets,DEN,"Denver, CO",19099,,https://th.bing.com/th/id/OIP.8qtNZv2nBXojKHQUSL4khwHaE8?rs=1&pid=ImgDetMain,39.74249703,-105.004499982
11,Toyota Center,TX,Texas,1610612745,Houston Rockets,HOU,"Houston, TX",18104,,https://th.bing.com/th/id/R.52c31ef3f1f97b72a1a885e3f64ec76d?rik=ov%2fkYtBB5vHuHw&pid=ImgRaw&r=0,29.750496998,-95.357331904
12,Staples Center,CA,California,1610612746,LA Clippers,LAC,"Los Angeles, CA",19060,,https://th.bing.com/th/id/R.de813cb941b1803ef8c59866856266d4?rik=AzEsKP1N5zxEIQ&riu=http%3a%2f%2ffamouswonders.com%2fwp-content%2fuploads%2f2010%2f10%2fStaplesCenter.jpg&ehk=aJRxt8sUkEoUaR5eflXe%2bYUfnoGK%2f0MsHzk1jZGZ2ZE%3d&risl=&pid=ImgRaw&r=0,34.03916651,-118.266998932
13,Staples Center,CA,California,1610612747,Los Angeles Lakers,LAL,"Los Angeles, CA",19060,,https://th.bing.com/th/id/R.de813cb941b1803ef8c59866856266d4?rik=AzEsKP1N5zxEIQ&riu=http%3a%2f%2ffamouswonders.com%2fwp-content%2fuploads%2f2010%2f10%2fStaplesCenter.jpg&ehk=aJRxt8sUkEoUaR5eflXe%2bYUfnoGK%2f0MsHzk1jZGZ2ZE%3d&risl=&pid=ImgRaw&r=0,34.03916651,-118.266998932
14,American Airlines Arena,FL,Florida,1610612748,Miami Heat,MIA,"Miami, FL",19600,,https://th.bing.com/th/id/R.c7026d004d91f591f500de3cbcfd225b?rik=NLi%2bX02PZwJHtA&riu=http%3a%2f%2fwww.interbasket.net%2fwp-content%2fuploads%2f2014%2f06%2fAmerican_Airlines_Arena_backside.jpg&ehk=gtL4nxhZ08OLsCDQEcu1s79ILwlK%2bGyVnQTc4k9Yseg%3d&risl=&pid=ImgRaw&r=0,25.775496898,-80.186165922
15,Fiserv Forum,WI,Wisconsin,1610612749,Milwaukee Bucks,MIL,"Milwaukee, WI",17500,,https://th.bing.com/th/id/OIP.Gothf4N_zVRemWVKyLWdTgHaE8?rs=1&pid=ImgDetMain,43.045231,-87.917923
16,Target Center,MN,Minnesota,1610612750,Minnesota Timberwolves,MIN,"Minnesota, MN",19356,,https://th.bing.com/th/id/OIP.SjswQi8yOJ0rBdDGqk7jKAHaE7?rs=1&pid=ImgDetMain,44.979595,-93.276566
17,Barclays Center,NY,New York,1610612751,Brooklyn Nets,BKN,"Brooklyn, NY",,,https://th.bing.com/th/id/OIP.BjGf5RobCtw5y8BtD9zvvAHaE5?rs=1&pid=ImgDetMain,40.682732,-73.975876
